changyong,20221026151037,1
changyong,20221026151039,-1
changyong,20221026151215,1
changyong,20221026151221,-1
changyong,20221026161435,1
changyong,20221026161456,-1
changyong,20221026161606,1
changyong,20221026161608,-1
changyong,20221026163858,1
changyong,20221026163900,-1
changyong,20221027083559,1
changyong,20221027083601,-1
changyong,20221027090322,1
changyong,20221027094359,1
null,20221027094403,-1
changyong,20221027094448,1
null,20221027094453,-1
changyong,20221027094640,1
null,20221027094641,-1
changyong,20221027094757,1
changyong,20221027094916,1
changyong,20221027094938,1
null,20221027094951,-1
changyong,20221027095017,1
null,20221027095020,-1
changyong,20221027095120,1
changyong,20221027095323,1
null,20221027095518,-1
changyong,20221027095621,1
null,20221027095622,-1
null,20221027095622,-1
changyong,20221027095806,1
null,20221027095810,-1
changyong,20221027100008,1
null,20221027100010,-1
changyong,20221027100105,1
null,20221027100106,-1
changyong,20221027100220,1
null,20221027100221,-1
changyong,20221027100351,1
null,20221027100354,-1
changyong,20221027100546,1
changyong,20221027100547,-1
changyong,20221027100623,1
changyong,20221027100624,-1
changyong,20221027100726,1
changyong,20221027100727,-1
changyong,20221027113203,1
hyunwoo,20221027130751,1
hyunwoo,20221027130753,-1
changyong,20221028083411,1
changyong,20221028083416,-1
changyong,20221028091407,1
changyong,20221028091409,-1
changyong,20221028101642,1
changyong,20221028101653,-1
changyong,20221028101704,1
changyong,20221028101716,-1
changyong,20221028104521,1
changyong,20221028105225,1
changyong,20221028110823,1
changyong,20221028110829,-1
changyong,20221028110852,1
changyong,20221028110853,-1
changyong,20221028113738,1
changyong,20221028113750,-1
changyong,20221028113913,1
changyong,20221028113915,-1
changyong,20221028114054,1
changyong,20221028114117,1
changyong,20221028114449,1
changyong,20221028114819,1
changyong,20221028115219,1
changyong,20221028115251,1
changyong,20221028115342,1
changyong,20221028115446,1
changyong,20221028115816,1
changyong,20221028115840,1
changyong,20221028115856,1
changyong,20221028115915,1
changyong,20221028120125,1
changyong,20221028120225,1
changyong,20221028120418,1
changyong,20221028120705,1
changyong,20221028132439,1
changyong,20221028132441,-1
changyong,20221028132452,1
changyong,20221028133221,1
changyong,20221028133533,1
changyong,20221028133857,1
changyong,20221028133932,1
changyong,20221028133950,1
changyong,20221028134030,1
changyong,20221028134412,1
changyong,20221028135028,1
changyong,20221028135729,1
changyong,20221028135906,1
changyong,20221028135955,1
changyong,20221028140047,1
changyong,20221028140227,1
changyong,20221028142041,1
changyong,20221028142147,1
changyong,20221028142412,1
changyong,20221028142619,1
changyong,20221028142704,1
changyong,20221028142727,1
changyong,20221028143137,1
changyong,20221028143317,1
changyong,20221028143444,1
changyong,20221028143545,1
